"","x"
"1",11.72
"2",7.67
"3",3.75
"4",3.26
"5",2.99
"6",2.65
"7",2.53
"8",2.26
"9",2.03
"10",1.77
"11",1.7
"12",1.64
"13",1.61
"14",1.53
"15",1.4
"16",1.28
"17",1.25
"18",1.18
"19",1.13
"20",1.08
"21",1.06
"22",1.03
"23",0.97
"24",0.91
"25",0.89
"26",0.88
"27",0.84
"28",0.82
"29",0.78
"30",0.76
"31",0.74
"32",0.73
"33",0.71
"34",0.69
"35",0.69
"36",0.68
"37",0.65
"38",0.64
"39",0.62
"40",0.61
"41",0.59
"42",0.58
"43",0.56
"44",0.55
"45",0.54
"46",0.54
"47",0.51
"48",0.51
"49",0.49
"50",0.48
"51",0.48
"52",0.47
"53",0.46
"54",0.45
"55",0.44
"56",0.43
"57",0.43
"58",0.42
"59",0.42
"60",0.4
"61",0.4
"62",0.39
"63",0.38
"64",0.38
"65",0.37
"66",0.37
"67",0.36
"68",0.35
"69",0.34
"70",0.33
"71",0.33
"72",0.33
"73",0.32
"74",0.31
"75",0.31
"76",0.3
"77",0.29
"78",0.29
"79",0.28
"80",0.28
"81",0.27
"82",0.27
"83",0.27
"84",0.26
"85",0.26
"86",0.26
"87",0.25
"88",0.24
"89",0.24
"90",0.24
"91",0.23
"92",0.23
"93",0.22
"94",0.22
"95",0.22
"96",0.21
"97",0.21
"98",0.21
"99",0.2
"100",0.2
"101",0.2
"102",0.2
"103",0.19
"104",0.19
"105",0.19
"106",0.19
"107",0.18
"108",0.18
"109",0.18
"110",0.17
"111",0.17
"112",0.17
"113",0.17
"114",0.16
"115",0.16
"116",0.16
"117",0.15
"118",0.15
"119",0.15
"120",0.14
"121",0.14
"122",0.14
"123",0.14
"124",0.13
"125",0.13
"126",0.13
"127",0.13
"128",0.13
"129",0.12
"130",0.12
"131",0.12
"132",0.12
"133",0.11
"134",0.11
"135",0.11
"136",0.1
"137",0.1
"138",0.1
"139",0.1
"140",0.1
"141",0.1
"142",0.09
"143",0.09
"144",0.09
"145",0.09
"146",0.09
"147",0.09
"148",0.08
"149",0.08
"150",0.08
"151",0.08
"152",0.07
"153",0.07
"154",0.07
"155",0.07
"156",0.07
"157",0.07
"158",0.07
"159",0.06
"160",0.06
"161",0.06
"162",0.06
"163",0.06
"164",0.06
"165",0.05
"166",0.05
"167",0.05
"168",0.05
"169",0.05
"170",0.05
"171",0.05
"172",0.05
"173",0.04
"174",0.04
"175",0.04
"176",0.04
"177",0.03
"178",0.03
"179",0.03
"180",0.03
"181",0.03
"182",0.03
"183",0.03
"184",0.03
"185",0.03
"186",0.03
"187",0.02
"188",0.02
"189",0.02
"190",0.02
"191",0.02
"192",0.02
"193",0.01
"194",0.01
"195",0.01
"196",0.01
"197",0.01
"198",0.01
"199",0.01
"200",0.01
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",-0.01
"212",-0.01
"213",-0.01
"214",-0.01
"215",-0.01
"216",-0.01
"217",-0.01
"218",-0.01
"219",-0.02
"220",-0.02
"221",-0.02
"222",-0.02
"223",-0.02
"224",-0.02
"225",-0.02
"226",-0.02
"227",-0.02
"228",-0.02
"229",-0.03
"230",-0.03
"231",-0.03
"232",-0.03
"233",-0.03
"234",-0.03
"235",-0.03
"236",-0.03
"237",-0.04
"238",-0.04
"239",-0.04
"240",-0.04
"241",-0.04
"242",-0.04
"243",-0.04
"244",-0.04
"245",-0.05
"246",-0.05
"247",-0.05
"248",-0.05
"249",-0.05
"250",-0.05
"251",-0.05
"252",-0.05
"253",-0.05
"254",-0.05
"255",-0.06
"256",-0.06
"257",-0.06
"258",-0.06
"259",-0.06
"260",-0.06
"261",-0.06
"262",-0.07
"263",-0.07
"264",-0.07
"265",-0.07
"266",-0.07
"267",-0.07
"268",-0.07
"269",-0.07
"270",-0.07
"271",-0.08
"272",-0.08
"273",-0.08
"274",-0.08
"275",-0.08
"276",-0.08
"277",-0.08
"278",-0.09
"279",-0.09
"280",-0.09
"281",-0.09
"282",-0.09
"283",-0.1
"284",-0.1
"285",-0.1
"286",-0.1
"287",-0.1
"288",-0.1
"289",-0.11
"290",-0.11
"291",-0.11
"292",-0.11
"293",-0.11
"294",-0.12
"295",-0.12
"296",-0.13
"297",-0.13
"298",-0.14
"299",-0.14
"300",-0.15
"301",-0.16
"302",-0.17
"303",-0.17
