feature,importance
g__Abiotrophia,0.018417992032739514
g__Absconditabacteriales_(SR1)_unclassified,0.009211879113874461
g__Acinetobacter,0.010503544442304912
g__Actinobacillus,0.009953598294851774
g__Aerococcaceae_unclassified,0.012399915903217073
g__Aggregatibacter,0.012646164563204717
g__Alloscardovia,0.019850623886267023
g__Anaeroglobus,0.01142385463294412
g__Anaerostipes,0.014086097299580394
g__Bacteroidetes_unclassified,0.015132821670778245
g__Betaproteobacteria_unclassified,0.0205083555510948
g__Bilophila,0.008802673364311892
g__Blautia,0.011222151073092266
g__Brevundimonas,0.009261196639320457
g__Butyricicoccus,0.02404818732048644
g__Candidatus_Saccharimonas,0.01589359558883121
g__Citrobacter,0.018908229547156905
g__Clostridiales_unclassified,0.013357269023090167
g__Clostridium_sensu_stricto_1,0.017241042957868196
g__Comamonadaceae_unclassified,0.01105513931587584
g__Coprococcus_3,0.02572645017229855
g__Corynebacterium,0.022314202314362718
g__Curvibacter,0.019499727494685638
g__Cutibacterium,0.03548703954953062
g__Deinococcus,0.02459056049503269
g__Desulfovibrio,0.010916718618330185
g__Eikenella,0.011037943224230129
g__Eisenbergiella,0.00983436149136367
g__Erysipelotrichaceae_UCG-003,0.01137352691725486
g__Eubacterium]_nodatum_group,0.009664853858165914
g__Eubacterium]_yurii_group,0.011562301265255698
g__Family_XIII_unclassified,0.01272415081571908
g__Filifactor,0.011284683043176343
g__Gracilibacteria_unclassified,0.011802356966736443
g__Helicobacter,0.008960079006862482
g__Johnsonella,0.009619788681373132
g__Klebsiella,0.018144089415313012
g__Lachnoclostridium,0.02633398927431694
g__Lachnospiraceae_unclassified,0.009391413839481064
g__Lactobacillus,0.010934412343455666
g__Lentimicrobiaceae_unclassified,0.014788320175185686
g__Mogibacterium,0.008823627208079403
g__Moryella,0.014145924430769752
g__Mycoplasma,0.013527005263315846
g__Odoribacter,0.014725842848848087
g__Parascardovia,0.014671311577964674
g__Parvimonas,0.007901885511755625
g__Peptostreptococcaceae_unclassified,0.011638690822793684
g__Prevotella_2,0.02890359922747837
g__Prevotellaceae_NK3B31_group,0.01090896719942175
g__Pseudoalteromonas,0.030217872857448043
g__Quinella,0.023305230287045
g__Roseburia,0.01405941614859521
g__Ruminococcaceae_NK4A214_group,0.01484155143843824
g__Ruminococcaceae_UCG-014,0.012405662389169809
g__Ruminococcus]_torques_group,0.010061623813931888
g__Ruminococcus_1,0.011356246978500753
g__Scardovia,0.010390709550517279
g__Selenomonas,0.014624929877722017
g__Selenomonas_3,0.01013456363528853
g__Solobacterium,0.024714898129341033
g__Sphingomonas,0.024046032643479508
g__Staphylococcus,0.0095956343492046
g__Streptococcus,0.009705663736147908
g__Subdoligranulum,0.018034817452673522
g__Vagococcus,0.011667849154822304
g__Veillonellaceae_unclassified,0.015675142284226243
