feature,importance
g__Abiotrophia,0.022679307
g__Absconditabacteriales_(SR1)_unclassified,0.004761463
g__Acinetobacter,0.029051133
g__Actinobacillus,0.018826216
g__Aerococcaceae_unclassified,0.008821204
g__Aggregatibacter,0.007032392
g__Alloscardovia,0.011960513
g__Anaeroglobus,0.008785734
g__Anaerostipes,0.016925642
g__Bacteroidetes_unclassified,0.019309606
g__Betaproteobacteria_unclassified,0.025659138
g__Bilophila,0.011049986
g__Blautia,0.0071443804
g__Brevundimonas,0.021421265
g__Butyricicoccus,0.023636825
g__Candidatus_Saccharimonas,0.010560767
g__Citrobacter,0.021994673
g__Clostridiales_unclassified,0.009949746
g__Clostridium_sensu_stricto_1,0.015497566
g__Comamonadaceae_unclassified,0.014207931
g__Coprococcus_3,0.022703663
g__Corynebacterium,0.019565241
g__Curvibacter,0.020926295
g__Cutibacterium,0.022517096
g__Deinococcus,0.020381466
g__Desulfovibrio,0.018572355
g__Eikenella,0.0162331
g__Eisenbergiella,0.010650585
g__Erysipelotrichaceae_UCG-003,0.008393791
g__Eubacterium]_nodatum_group,0.016014881
g__Eubacterium]_yurii_group,0.018316364
g__Family_XIII_unclassified,0.016565133
g__Filifactor,0.010372323
g__Gracilibacteria_unclassified,0.0070385053
g__Helicobacter,0.011062023
g__Johnsonella,0.0060401536
g__Klebsiella,0.013349559
g__Lachnoclostridium,0.022045488
g__Lachnospiraceae_unclassified,0.0103160115
g__Lactobacillus,0.0074913357
g__Lentimicrobiaceae_unclassified,0.0124755055
g__Mogibacterium,0.0065118554
g__Moryella,0.0066052913
g__Mycoplasma,0.01799191
g__Odoribacter,0.013668829
g__Parascardovia,0.03188721
g__Parvimonas,0.022535602
g__Peptostreptococcaceae_unclassified,0.014204373
g__Prevotella_2,0.020792497
g__Prevotellaceae_NK3B31_group,0.0056828517
g__Pseudoalteromonas,0.026054535
g__Quinella,0.014132403
g__Roseburia,0.019867094
g__Ruminococcaceae_NK4A214_group,0.005889215
g__Ruminococcaceae_UCG-014,0.013131933
g__Ruminococcus]_torques_group,0.009985317
g__Ruminococcus_1,0.008655955
g__Scardovia,0.017589422
g__Selenomonas,0.012621357
g__Selenomonas_3,0.02244347
g__Solobacterium,0.015337616
g__Sphingomonas,0.0077261776
g__Staphylococcus,0.013610739
g__Streptococcus,0.0093744295
g__Subdoligranulum,0.014423236
g__Vagococcus,0.01931107
g__Veillonellaceae_unclassified,0.009659163
