feature,importance
g__Abiotrophia,0.01805833
g__Absconditabacteriales_(SR1)_unclassified,0.0037391684
g__Acinetobacter,0.0
g__Actinobacillus,0.0
g__Aerococcaceae_unclassified,0.010670703
g__Aggregatibacter,0.0074970364
g__Alloscardovia,0.014484335
g__Anaeroglobus,0.018527525
g__Anaerostipes,0.01502404
g__Bacteroidetes_unclassified,0.016797155
g__Betaproteobacteria_unclassified,0.022698121
g__Bilophila,0.0
g__Blautia,0.014843647
g__Brevundimonas,0.005767477
g__Butyricicoccus,0.035282392
g__Candidatus_Saccharimonas,0.015972355
g__Citrobacter,0.01773501
g__Clostridiales_unclassified,0.006924643
g__Clostridium_sensu_stricto_1,0.013303736
g__Comamonadaceae_unclassified,0.0
g__Coprococcus_3,0.024775248
g__Corynebacterium,0.04933658
g__Curvibacter,0.017633228
g__Cutibacterium,0.02597959
g__Deinococcus,0.026609687
g__Desulfovibrio,0.00746693
g__Eikenella,0.011329722
g__Eisenbergiella,0.011011377
g__Erysipelotrichaceae_UCG-003,0.004655497
g__Eubacterium]_nodatum_group,0.014773279
g__Eubacterium]_yurii_group,0.013338875
g__Family_XIII_unclassified,0.014456834
g__Filifactor,0.012714916
g__Gracilibacteria_unclassified,0.0
g__Helicobacter,0.0
g__Johnsonella,0.005623748
g__Klebsiella,0.024309875
g__Lachnoclostridium,0.03474618
g__Lachnospiraceae_unclassified,0.0
g__Lactobacillus,0.00539777
g__Lentimicrobiaceae_unclassified,0.025133995
g__Mogibacterium,0.010819872
g__Moryella,0.006036248
g__Mycoplasma,0.0210825
g__Odoribacter,0.017359966
g__Parascardovia,0.016332442
g__Parvimonas,0.008227078
g__Peptostreptococcaceae_unclassified,0.008193744
g__Prevotella_2,0.031777732
g__Prevotellaceae_NK3B31_group,0.004555062
g__Pseudoalteromonas,0.029510006
g__Quinella,0.022110526
g__Roseburia,0.008219339
g__Ruminococcaceae_NK4A214_group,0.017795896
g__Ruminococcaceae_UCG-014,0.014049888
g__Ruminococcus]_torques_group,0.0119565185
g__Ruminococcus_1,0.028981527
g__Scardovia,0.008006699
g__Selenomonas,0.010590487
g__Selenomonas_3,0.013552373
g__Solobacterium,0.036123734
g__Sphingomonas,0.04290091
g__Staphylococcus,0.0046797665
g__Streptococcus,0.009207217
g__Subdoligranulum,0.018503945
g__Vagococcus,0.016169263
g__Veillonellaceae_unclassified,0.01663822
