feature,importance
g__ADurb.Bin063-1,0.0009892969009975112
g__Abiotrophia,0.0016532637767119015
g__Absconditabacteriales_(SR1)_unclassified,0.002088384961161019
g__Acetatifactor,0.0009250807742075937
g__Acetobacter,0.0025422057183954096
g__Acholeplasma,0.0014512864756874185
g__Acidaminococcus,0.0007880802876622536
g__Acidibacter,0.0014783128024079544
g__Acidipila,0.0007820602622610822
g__Acidithiobacillus,0.00118202074568453
g__Acidobacteria_unclassified,0.001909521316497154
g__Acidobacteriaceae_unclassified,0.0018185976828249003
g__Acidobacteriales_unclassified,0.0019194760370868208
g__Acidovorax,0.002289643460143912
g__Acinetobacter,0.001552854715003151
g__Actinobacillus,0.0019834187873040915
g__Actinobacteria_unclassified,0.0029625604338762235
g__Actinomyces,0.0016263765993608488
g__Actinomycetaceae_unclassified,0.0014898205419630992
g__Actinomycetales_unclassified,0.0011850496302324399
g__Actinomycetospora,0.0010252974438687158
g__Adlercreutzia,0.001138960275221136
g__Aeriscardovia,0.0020774949383741267
g__Aerococcaceae_unclassified,0.0016991542708410484
g__Aeromonas,0.001622919778635975
g__Agathobacter,0.0020498144839644645
g__Aggregatibacter,0.0014935050083175042
g__Akkermansia,0.0010695506493077346
g__Alistipes,0.0007027838866359385
g__Alkanindiges,0.0013846527610842459
g__Allisonella,0.0019695762688596696
g__Allobaculum,0.001411015998667534
g__Alloprevotella,0.0018287601174074573
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.001079276759847929
g__Alloscardovia,0.00285201215814789
g__Alphaproteobacteria_unclassified,0.0015039637496415419
g__Alsobacter,0.003066358376786615
g__Altererythrobacter,0.00140228011355663
g__Alysiella,0.003086682280648733
g__Aminicenantales_unclassified,0.0016214380457196399
g__Anaerococcus,0.0011831403822983883
g__Anaeroglobus,0.0011649908850084147
g__Anaerolineaceae_unclassified,0.0022180894132542753
g__Anaeroplasma,0.001365846552906133
g__Anaerostipes,0.0022466836323641838
g__Anaerotaenia,0.0009000579200762112
g__Anaerotruncus,0.0016545213117263545
g__Anaerovorax,0.001261172285596671
g__Angelakisella,0.0012299483222873262
g__Aquabacterium,0.0027504876186532122
g__Aquincola,0.0015489324304389636
g__Arcobacter,0.0022501946122593652
