feature,importance
g__ADurb.Bin063-1,0.0010466599
g__Abiotrophia,0.0016942674
g__Absconditabacteriales_(SR1)_unclassified,0.00304828
g__Acetatifactor,0.000933
g__Acetobacter,0.003491568
g__Acholeplasma,0.0044637546
g__Acidaminococcus,0.0024301992
g__Acidibacter,0.0005392691
g__Acidipila,0.0011322285
g__Acidithiobacillus,0.0021882644
g__Acidobacteria_unclassified,0.0009681367
g__Acidobacteriaceae_unclassified,0.0022074322
g__Acidobacteriales_unclassified,0.0009048101
g__Acidovorax,0.0015219718
g__Acinetobacter,0.0026404753
g__Actinobacillus,0.0017017226
g__Actinobacteria_unclassified,0.0022025777
g__Actinomyces,0.0019244383
g__Actinomycetaceae_unclassified,0.0012942601
g__Actinomycetales_unclassified,0.0016159805
g__Actinomycetospora,0.0021041178
g__Adlercreutzia,0.00053919095
g__Aeriscardovia,0.0012230321
g__Aerococcaceae_unclassified,0.0015372306
g__Aeromonas,0.0
g__Agathobacter,0.00039275983
g__Aggregatibacter,0.00093418243
g__Akkermansia,0.0011876605
g__Alistipes,0.0010385531
g__Alkanindiges,0.0
g__Allisonella,0.0022303509
g__Allobaculum,0.0018414241
g__Alloprevotella,0.0025174653
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0023875819
g__Alloscardovia,0.0022508504
g__Alphaproteobacteria_unclassified,0.0
g__Alsobacter,0.0026612745
g__Altererythrobacter,0.002184558
g__Alysiella,0.0011906096
g__Aminicenantales_unclassified,0.004084813
g__Anaerococcus,0.0018504215
g__Anaeroglobus,0.0010980224
g__Anaerolineaceae_unclassified,0.0032624984
g__Anaeroplasma,0.005386523
g__Anaerostipes,0.0014127778
g__Anaerotaenia,0.0071732323
g__Anaerotruncus,0.00061056326
g__Anaerovorax,0.0037479617
g__Angelakisella,0.0
g__Aquabacterium,0.0033721887
g__Aquincola,0.0015556458
g__Arcobacter,0.0065281913
g__Asaccharobacter,0.00059043756
g__Asticcacaulis,0.0019059514
g__Atopobiaceae_unclassified,0.00078185875
g__Atopobium,0.0019413504
g__Azohydromonas,0.0016532682
g__Azospira,0.0019126445
g__Azospirillum,0.003893262
g__Bacillales_unclassified,0.0028909969
g__Bacilli_unclassified,0.003093892
g__Bacillus,0.000600192
g__Bacteriovorax,0.0006509022
g__Bacteroidales_unclassified,0.003162539
g__Bacteroides,0.0028716386
g__Bacteroidetes_unclassified,0.0015187813
g__Barnesiella,0.0013173635
g__Bavariicoccus,0.0018533521
g__Bdellovibrio,0.00729204
g__Beijerinckiaceae_unclassified,0.0020800051
g__Bergeyella,0.0017769507
