feature,importance
g__ADurb.Bin063-1,0.0046627834
g__Abiotrophia,0.006183343
g__Absconditabacteriales_(SR1)_unclassified,0.0
g__Acetatifactor,0.0
g__Acetobacter,0.0073238416
g__Acholeplasma,0.0
g__Acidaminococcus,0.0
g__Acidibacter,0.0
g__Acidipila,0.005340038
g__Acidithiobacillus,0.0
g__Acidobacteria_unclassified,0.0
g__Acidobacteriaceae_unclassified,0.0074652936
g__Acidobacteriales_unclassified,0.0
g__Acidovorax,0.0
g__Acinetobacter,0.0
g__Actinobacillus,0.0
g__Actinobacteria_unclassified,0.008518561
g__Actinomyces,0.0036065017
g__Actinomycetaceae_unclassified,0.0
g__Actinomycetales_unclassified,0.0
g__Actinomycetospora,0.0
g__Adlercreutzia,0.0
g__Aeriscardovia,0.0
g__Aerococcaceae_unclassified,0.0
g__Aeromonas,0.0
g__Agathobacter,0.007003874
g__Aggregatibacter,0.0011571058
g__Akkermansia,0.0
g__Alistipes,0.002045555
g__Alkanindiges,0.0
g__Allisonella,0.007459878
g__Allobaculum,0.0
g__Alloprevotella,0.0
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0
g__Alloscardovia,0.0
g__Alphaproteobacteria_unclassified,0.0
g__Alsobacter,0.0050796596
g__Altererythrobacter,0.0
g__Alysiella,0.0
g__Aminicenantales_unclassified,0.0032864548
g__Anaerococcus,0.0032935312
g__Anaeroglobus,0.0
g__Anaerolineaceae_unclassified,0.0
g__Anaeroplasma,0.0
g__Anaerostipes,0.0
g__Anaerotaenia,0.0
g__Anaerotruncus,0.002386968
g__Anaerovorax,0.0029007741
g__Angelakisella,0.0
g__Aquabacterium,0.0
g__Aquincola,0.0019465245
g__Arcobacter,0.005987561
g__Asaccharobacter,0.0
g__Asticcacaulis,0.004820892
g__Atopobiaceae_unclassified,0.0
g__Atopobium,0.0
g__Azohydromonas,0.0077720326
g__Azospira,0.0013755771
g__Azospirillum,0.0
g__Bacillales_unclassified,0.0
g__Bacilli_unclassified,0.0
g__Bacillus,0.0
g__Bacteriovorax,0.0
g__Bacteroidales_unclassified,0.012539181
g__Bacteroides,0.010056818
g__Bacteroidetes_unclassified,0.0033396913
g__Barnesiella,0.007400739
g__Bavariicoccus,0.0
g__Bdellovibrio,0.0
g__Beijerinckiaceae_unclassified,0.003116134
g__Bergeyella,0.0
g__Betaproteobacteria_unclassified,0.004019946
g__Bifidobacterium,0.0
g__Bilophila,0.0
g__Blautia,0.0051829196
g__Blvii28_wastewater-sludge_group,0.005255864
g__Bordetella,0.0
g__Bosea,0.0
g__Bradyrhizobium,0.0046740086
g__Brevibacterium,0.0
g__Brevundimonas,0.0
g__Bryobacter,0.0
g__Bulleidia,0.00699137
g__Burkholderia-Caballeronia-Paraburkholderia,0.0
g__Burkholderiaceae_unclassified,0.0
g__Burkholderiales_unclassified,0.0
g__Butyricicoccus,0.0047103274
g__Butyricimonas,0.001014533
g__Butyrivibrio_2,0.0
g__C1-B045,0.0091768205
g__C39,0.0
g__CAG-56,0.0
g__Caenimonas,0.003569896
g__Campylobacter,0.0
g__Candidatus_Arthromitus,0.0020752857
g__Candidatus_Endomicrobium,0.0
g__Candidatus_Pacebacteria_unclassified,0.0
g__Candidatus_Saccharibacteria_unclassified,0.0
g__Candidatus_Saccharimonas,0.0022183624
g__Candidatus_Soleaferrea,0.0
g__Candidatus_Solibacter,0.0
g__Candidatus_Stoquefichus,0.0
g__Capnocytophaga,0.0066653355
g__Cardiobacterium,0.0
g__Catabacter,0.0
g__Catenibacterium,0.0
g__Catonella,0.0
g__Caulobacter,0.003391395
g__Caulobacteraceae_unclassified,0.0
g__Centipeda,0.0021008838
g__Chitinimonas,0.0048653507
g__Chitinophagaceae_unclassified,0.0
g__Chloroplast_unclassified,0.0
g__Christensenellaceae_R-7_group,0.0
g__Christensenellaceae_unclassified,0.0
g__Chromobacterium,0.0031620888
g__Chryseobacterium,0.007919279
g__Chujaibacter,0.0
g__Citrobacter,0.004235367
g__Cloacibacterium,0.012267009
g__Clostridiales_Family_XIV._Incertae_Sedis_unclassified,0.0
g__Clostridiales_unclassified,0.0015840622
g__Clostridiales_vadinBB60_group_unclassified,0.0
g__Clostridioides,0.0
g__Clostridium,0.0
g__Clostridium_sensu_stricto_1,0.0030516335
g__Clostridium_sensu_stricto_10,0.0
g__Clostridium_sensu_stricto_3,0.004045366
g__Cm1-21,0.0009805484
g__Collinsella,0.0
g__Comamonadaceae_unclassified,0.0
g__Comamonas,0.0073977695
g__Coprobacillus,0.0
g__Coprobacter,0.0
g__Coprococcus_1,0.0
g__Coprococcus_2,0.0
g__Coprococcus_3,0.0036060775
g__Coriobacteriaceae_unclassified,0.0
g__Coriobacteriales_Incertae_Sedis_unclassified,0.0016997167
g__Corynebacterium,0.0073678284
g__Corynebacterium_1,0.0
g__Cryptobacterium,0.005540065
g__Curvibacter,0.0031751518
g__Cutibacterium,0.0073658316
g__Cytophaga,0.0
g__DNF00809,0.0
g__Dechloromonas,0.0
g__Dechlorosoma,0.0
g__Defluviitaleaceae_UCG-011,0.0027939577
g__Deinococcus,0.005655925
g__Delftia,0.0018518823
g__Dermacoccus,0.0
g__Dermatophilaceae_unclassified,0.0
g__Desulfobulbus,0.0027420516
g__Desulfomicrobium,0.0
g__Desulfoplanes,0.0
g__Desulfovibrio,0.0
g__Desulfovibrionaceae_unclassified,0.0
g__Dialister,0.007863724
g__Dolosigranulum,0.0
g__Dorea,0.0
g__Dubosiella,0.0
g__Duganella,0.0
g__Duncaniella,0.0031569758
g__Dyella,0.0
g__Dysgonomonas,0.0
g__Eggerthella,0.0
