feature,importance
g__Abiotrophia,0.003689123925383069
g__Acetobacter,0.002676364273227485
g__Acidipila,0.0032291356524117958
g__Acidobacteriaceae_unclassified,0.003680192830462334
g__Acidovorax,0.003902815896380187
g__Actinobacillus,0.0023122733888967205
g__Aeriscardovia,0.002046203274487974
g__Aeromonas,0.002766965827909013
g__Akkermansia,0.003118314733172457
g__Alkanindiges,0.00296547275500277
g__Allisonella,0.0026585484465234317
g__Allobaculum,0.003004363458383833
g__Alphaproteobacteria_unclassified,0.0025071462720548986
g__Alsobacter,0.004880828074423329
g__Altererythrobacter,0.0030197382617190268
g__Alysiella,0.004361663964873518
g__Anaerococcus,0.0036481266380590884
g__Anaeroglobus,0.0037908679161608116
g__Anaeroplasma,0.002775997165529765
g__Anaerotaenia,0.002787468681254537
g__Anaerotruncus,0.0019000172400243929
g__Aquabacterium,0.002575344895664476
g__Atopobiaceae_unclassified,0.0032432626882249248
g__Atopobium,0.003987642193466133
g__Azohydromonas,0.003398892347894872
g__Azospira,0.005039895494752484
g__Azospirillum,0.0035569260236302867
g__Bacillales_unclassified,0.0023219865485751257
g__Bacilli_unclassified,0.0029857878155419553
g__Bacteroidales_unclassified,0.008239452294721566
g__Barnesiella,0.0037846495122713223
g__Bavariicoccus,0.002609060511475558
g__Bdellovibrio,0.0045216788734038695
g__Beijerinckiaceae_unclassified,0.003204412078916286
g__Bergeyella,0.0037410173021289682
g__Bifidobacterium,0.003669799663404944
g__Bilophila,0.0039012579153556723
g__Bordetella,0.004370444347167157
g__Bosea,0.002377289658731978
g__Burkholderiales_unclassified,0.002495559424068622
g__C1-B045,0.004820065349975187
g__C39,0.0022474453971611827
g__CAG-56,0.0027052301389955
g__Caenimonas,0.0030944255771333255
g__Candidatus_Pacebacteria_unclassified,0.0025692539168029153
g__Candidatus_Solibacter,0.003006119537131786
g__Caulobacter,0.004816995420541417
g__Chitinophagaceae_unclassified,0.002333524518093579
g__Christensenellaceae_R-7_group,0.003912457083470914
g__Citrobacter,0.01497947109932004
g__Cloacibacterium,0.003624231900778616
g__Clostridiales_unclassified,0.0033478424309311312
g__Clostridium,0.003232558307248055
g__Clostridium_sensu_stricto_3,0.0038140169781781417
g__Collinsella,0.0046549447521081755
g__Coprococcus_1,0.004213834601363601
g__Coprococcus_3,0.005579668245426536
g__Curvibacter,0.0032580291776745235
g__Cutibacterium,0.011911388159444347
g__Cytophaga,0.0021617756761062
g__Dechloromonas,0.0037199559189513044
g__Desulfobulbus,0.005525213979301629
g__Desulfomicrobium,0.003209262704946868
g__Desulfoplanes,0.003970979806026718
g__Desulfovibrio,0.003551932121726814
g__Desulfovibrionaceae_unclassified,0.003457044086494219
g__Dorea,0.002579295100936969
g__Duganella,0.0018555559928467255
g__Dyella,0.0022249232731191607
g__Dysgonomonas,0.002500086255300486
g__Eggerthella,0.0021108401034070586
g__Eggerthellaceae_unclassified,0.003637310887774853
g__Eggerthia,0.0030321702988320553
g__Eikenella,0.002687846304949281
g__Elsterales_unclassified,0.002393751904773706
g__Enhydrobacter,0.0036323822424521464
g__Ensifer,0.002913801488273116
g__Enterobacterales_unclassified,0.0026652089389849077
g__Enterobacteriaceae_unclassified,0.0028393247368652674
g__Erysipelotrichaceae_UCG-003,0.0037709028932456047
g__Eubacterium,0.0035032467625976727
g__Eubacterium]_nodatum_group,0.0029845633316888625
g__Eubacterium]_oxidoreducens_group,0.004841528343700799
g__Eubacterium]_saphenum_group,0.0027838653361229333
g__Eubacterium]_ventriosum_group,0.0023572058091762263
g__Ezakiella,0.0034778918180714165
g__F0058,0.0030928095051348738
g__F0332,0.004901634342353734
g__F082_unclassified,0.0032755837551294077
g__FCPS473,0.003283935078605648
g__Faecalimonas,0.003462773316898112
g__Family_XIII_UCG-001,0.0032732549429367033
g__Family_XIII_unclassified,0.002906820603132628
g__Fibrella,0.003474158875845246
g__Firmicutes_unclassified,0.0038104459187010336
g__Flavobacteriaceae_unclassified,0.002752987221239277
g__Flavobacteriales_unclassified,0.004278346612886519
g__Flavobacterium,0.003324812616514206
g__Flexilinea,0.004059368270845642
g__Fusicatenibacter,0.004672463764188163
g__GCA-900066225,0.008286069201186196
g__GCA-900066575,0.004093569018546403
g__Gammaproteobacteria_unclassified,0.0030449612292122222
g__Gastranaerophilales_unclassified,0.0030158370828016956
g__Gemella,0.0030884747776503065
g__Gemmatimonas,0.0030679542119492905
g__Gemmobacter,0.002874967038506922
g__Geobacillus,0.002228404171987997
g__Geodermatophilus,0.003787180948036382
g__Glucerabacter,0.003613002536717449
g__Gordonibacter,0.007960011002112008
g__Granulicatella,0.003122756622133988
g__Helicobacter,0.003066320342964439
g__Holdemanella,0.00214379681521193
g__Howardella,0.0028507287270182224
g__Humibacter,0.0030632972671609552
g__Hungatella,0.0044757978765996
g__Hyphomicrobium,0.0035667052880905058
g__Izimaplasmatales_unclassified,0.004459010044365441
g__JGI_0000069-P22_unclassified,0.0041799351439708084
