feature,importance
g__Acidibacter,0.009126856
g__Acidithiobacillus,0.003470518
g__Acidobacteriaceae_unclassified,0.0036448743
g__Acidobacteriales_unclassified,0.0018319503
g__Acidovorax,0.0017365434
g__Actinobacillus,0.0028864334
g__Actinomyces,0.003386899
g__Adlercreutzia,0.0032581824
g__Aeromonas,0.0034735927
g__Alistipes,0.0011715194
g__Allisonella,0.00239721
g__Alloprevotella,0.0027687303
g__Alsobacter,0.0034897397
g__Altererythrobacter,0.0053145783
g__Anaerolineaceae_unclassified,0.0051713805
g__Anaeroplasma,0.0028920395
g__Anaerotruncus,0.0047032447
g__Anaerovorax,0.0036207945
g__Angelakisella,0.0041574435
g__Aquincola,0.0046140784
g__Arcobacter,0.0044126105
g__Atopobiaceae_unclassified,0.0023826216
g__Atopobium,0.0038455084
g__Azospira,0.003762278
g__Bacillales_unclassified,0.002870585
g__Bacilli_unclassified,0.003969824
g__Bacillus,0.004245166
g__Bacteriovorax,0.0035920057
g__Bacteroidetes_unclassified,0.0037465694
g__Barnesiella,0.0027430109
g__Bavariicoccus,0.00331112
g__Bdellovibrio,0.0041810703
g__Bergeyella,0.0030885176
g__Bifidobacterium,0.0017945756
g__Bilophila,0.0029558027
g__Blautia,0.0039029126
g__Bordetella,0.0025156182
g__Bosea,0.0034612222
g__Bradyrhizobium,0.005408356
g__Brevundimonas,0.0027491879
g__Burkholderiaceae_unclassified,0.003406544
g__Butyricicoccus,0.004762479
g__Butyricimonas,0.0026742015
g__Campylobacter,0.003999122
g__Candidatus_Soleaferrea,0.013296853
g__Candidatus_Solibacter,0.0047785854
g__Catabacter,0.0039028833
g__Catenibacterium,0.0031044844
g__Catonella,0.0029297068
g__Caulobacteraceae_unclassified,0.0027590261
g__Centipeda,0.0021825323
g__Chitinimonas,0.003376761
g__Chitinophagaceae_unclassified,0.0043613934
g__Christensenellaceae_unclassified,0.009033939
g__Chujaibacter,0.0033673767
g__Citrobacter,0.004105743
g__Clostridium_sensu_stricto_10,0.0034432153
g__Cm1-21,0.0035136917
g__Collinsella,0.0018087925
g__Comamonadaceae_unclassified,0.0028863742
g__Cryptobacterium,0.0023403654
g__Cytophaga,0.0043399204
g__Delftia,0.00365126
g__Dermacoccus,0.0037817722
g__Dermatophilaceae_unclassified,0.0041377316
g__Desulfomicrobium,0.0020491153
g__Desulfovibrio,0.0012344801
