feature,importance
g__ADurb.Bin063-1,0.0
g__Acidaminococcus,0.0
g__Acidithiobacillus,0.0
g__Acidobacteria_unclassified,0.0040336903
g__Acidovorax,0.015801612
g__Actinobacillus,0.00914388
g__Actinomycetales_unclassified,0.0
g__Actinomycetospora,0.002378082
g__Adlercreutzia,0.00032870914
g__Aerococcaceae_unclassified,0.0
g__Agathobacter,0.0070730555
g__Aggregatibacter,0.0022527755
g__Alkanindiges,0.0
g__Allobaculum,0.0
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0039529167
g__Alphaproteobacteria_unclassified,0.00026096622
g__Altererythrobacter,0.0
g__Alysiella,0.006084506
g__Aminicenantales_unclassified,0.024060428
g__Anaerolineaceae_unclassified,0.008830599
g__Anaeroplasma,0.0
g__Anaerotruncus,0.0
g__Aquabacterium,0.0010240284
g__Arcobacter,0.0
g__Azospira,0.00575373
g__Azospirillum,0.0074064746
g__Bacillales_unclassified,0.0
g__Bacteroides,0.0073808623
g__Bdellovibrio,0.0
g__Betaproteobacteria_unclassified,0.011637565
g__Blvii28_wastewater-sludge_group,0.0059213117
g__Bradyrhizobium,0.0005377399
g__Brevibacterium,0.0
g__Brevundimonas,0.0
g__Bryobacter,0.0
g__Bulleidia,0.0
g__Burkholderiaceae_unclassified,0.0
g__Burkholderiales_unclassified,0.011621025
g__Butyricicoccus,0.0044726715
g__Butyrivibrio_2,0.0032513456
g__Caenimonas,0.019258674
g__Candidatus_Pacebacteria_unclassified,0.0046187905
g__Candidatus_Saccharimonas,0.0
g__Candidatus_Solibacter,0.0
g__Candidatus_Stoquefichus,0.0018036786
g__Catenibacterium,0.000831215
g__Catonella,0.0
g__Caulobacter,0.0008920075
g__Caulobacteraceae_unclassified,0.0
g__Chitinimonas,0.0
g__Chloroplast_unclassified,0.00055044115
g__Christensenellaceae_R-7_group,0.011700194
g__Christensenellaceae_unclassified,0.009627582
g__Chromobacterium,0.015323788
g__Chryseobacterium,0.00090919534
g__Cloacibacterium,0.0
g__Clostridiales_unclassified,0.0
g__Clostridiales_vadinBB60_group_unclassified,0.0
g__Clostridium,0.0
g__Clostridium_sensu_stricto_1,0.0
g__Cm1-21,0.0037174183
g__Collinsella,0.00783177
g__Coprobacter,0.01990983
g__Coprococcus_2,0.0
g__Coprococcus_3,0.005865825
g__Coriobacteriaceae_unclassified,0.0
g__Corynebacterium_1,0.00704416
g__DNF00809,0.021981955
g__Defluviitaleaceae_UCG-011,0.0006213873
g__Deinococcus,0.0
g__Delftia,0.0
g__Dermacoccus,0.0
g__Desulfovibrio,0.00042541072
g__Dubosiella,0.0
g__Dysgonomonas,0.0
g__Eggerthella,0.0
g__Elizabethkingia,0.0
g__Emticicia,0.0
g__Enhydrobacter,0.0
g__Ensifer,0.0031537977
g__Enterobacter,0.0
g__Enterobacterales_unclassified,0.0012156139
g__Epulopiscium,0.0
g__Erysipelothrix,0.0
g__Escherichia-Shigella,0.0021652086
g__Eubacterium,0.005288798
g__Eubacterium]_brachy_group,0.00081416906
g__Eubacterium]_coprostanoligenes_group,0.003768493
g__Eubacterium]_eligens_group,0.0004667195
g__Eubacterium]_hallii_group,0.0019911279
g__Eubacterium]_nodatum_group,0.0020406872
g__Eubacterium]_ruminantium_group,0.0061654937
g__Eubacterium]_saphenum_group,0.0
g__Ezakiella,0.0
g__F0058,0.0
g__F082_unclassified,0.0209126
g__FCPS473,0.012635472
g__Faecalibacterium,0.014190117
g__Faecalimonas,0.00024743623
g__Family_XIII_AD3011_group,0.007106078
g__Family_XIII_unclassified,0.0010169282
g__Fastidiosipila,0.0029751547
g__Fibrella,0.0
g__Finegoldia,0.0
g__Firmicutes_unclassified,0.0030756507
g__Flexilinea,0.0064605284
g__Fretibacterium,0.0063897776
g__Fusicatenibacter,0.00091734645
g__GCA-900066575,0.00027468277
g__Gammaproteobacteria_unclassified,0.0004942275
g__Gardnerella,0.0
g__Gemella,0.009249383
g__Glucerabacter,0.00046400208
g__Gordonia,0.0
g__Gordonibacter,0.007415196
g__Gracilibacteria_unclassified,0.0
g__Granulicatella,0.0
g__Haemophilus,0.0098091075
g__Helicobacter,0.0012986555
g__Holdemanella,0.0
g__Howardella,0.0
g__Hungatella,0.005920534
g__Hymenobacter,0.0
g__Hyphomicrobium,0.007153191
g__IMCC26256_unclassified,0.0
g__Insolitispirillum,0.030175602
g__Intestinibacter,0.0
g__Intestinimonas,0.0
g__Izimaplasmatales_unclassified,0.006477042
g__JG30-KF-AS9_unclassified,0.0
g__JGI_0000069-P22_unclassified,0.0051758713
g__KD4-96_unclassified,0.0020194203
g__KF-JG30-C25_unclassified,0.0067812973
g__Kineothrix,0.0
g__Kingella,0.0044035795
g__Kluyvera,0.0
g__Kocuria,0.0047905124
g__Kosakonia,0.0004920223
g__Lachnoclostridium,0.0041933195
g__Lachnospiraceae_UCG-006,0.007463169
g__Lachnospiraceae_UCG-010,0.0009777425
g__Lachnospiraceae_unclassified,0.0
g__Lactobacillus,0.0
g__Lautropia,0.0059878905
g__Lawsonella,0.0046204324
g__Leclercia,0.0
g__Leifsonia,0.00876813
g__Leptotrichia,0.006672265
g__Leuconostoc,0.0006010241
g__Luteimonas,0.014775449
g__Luteitalea,0.0
g__Lysobacter,0.0
g__Macrococcus,0.009819735
g__Massilia,0.0
g__Mesorhizobium,0.0059219254
g__Methylacidiphilaceae_unclassified,0.003825484
g__Methyloversatilis,0.004518869
g__Microbacteriaceae_unclassified,0.0
g__Micrococcus,0.021316255
g__Mitsuaria,0.0
g__Mogibacterium,0.0
g__Moraxella,0.013372508
g__Moryella,0.0
g__Mucispirillum,0.004241443
g__Mycoplasma,0.007960631
g__Neisseria,0.0
g__Neisseriaceae_unclassified,0.0009968907
g__Neomicrococcus,0.0075149997
g__Niveispirillum,0.0
g__Nubsella,0.00042417497
g__OM43_clade,0.0
g__OPB56_unclassified,0.0
g__Oceanivirga,0.0044289613
g__Ochrobactrum,0.0
g__Odoribacter,0.0022156972
g__Olsenella,0.0
g__Ornithinimicrobium,0.004310846
g__Paenisporosarcina,0.009689492
g__Pajaroellobacter,0.020658152
g__Pandoraea,0.0
g__Parabacteroides,0.0024912716
g__Paracaedibacteraceae_unclassified,0.0012203971
g__Paraeggerthella,0.0
g__Paramuribaculum,0.006759436
g__Paraprevotella,0.0
g__Pediococcus,0.0014401146
g__Pedosphaeraceae_unclassified,0.02082111
g__Peptoclostridium,0.0009495252
g__Peptococcaceae_unclassified,0.0
g__Peptococcus,0.0017647012
g__Peptostreptococcus,0.005272117
g__Phocaeicola,0.008239026
g__Phreatobacter,0.0062581208
g__Planktothrix_NIVA-CYA_15,0.0
g__Pleomorphomonadaceae_unclassified,0.0
g__Polynucleobacter,0.0067817993
g__Prevotella_2,0.0064812
g__Prevotella_6,0.009596871
g__Prevotella_7,0.000513743
g__Prevotella_9,0.00061447866
g__Prevotellaceae_Ga6A1_group,0.0045511755
g__Prevotellaceae_UCG-001,0.0
g__Prevotellaceae_UCG-003,0.0031950923
g__Prevotellaceae_UCG-004,0.0
g__Proteobacteria_unclassified,0.0
g__Providencia,0.0019442055
g__Pseudacidovorax,0.0049249283
g__Pseudoduganella,0.00023538161
g__Pseudopropionibacterium,0.007221949
g__Pseudoxanthomonas,0.0
g__Psychrobacter,0.0012658982
g__Pygmaiobacter,0.0071704243
g__Qingshengfania,0.0006440837
g__Ralstonia,0.0
g__Raoultella,0.0007880974
g__Romboutsia,0.0028210145
g__Roseateles,0.0
g__Roseiflexaceae_unclassified,0.00035698715
g__Roseomonas,0.00034271824
g__Ruminiclostridium,0.0
g__Ruminiclostridium_5,0.0025936319
g__Ruminiclostridium_6,0.0
g__Ruminococcaceae_UCG-003,0.01424132
g__Ruminococcaceae_UCG-004,0.0
g__Ruminococcaceae_UCG-005,0.0065248883
g__Ruminococcaceae_UCG-010,0.03128092
g__Ruminococcaceae_UCG-014,0.0
g__Ruminococcaceae_V9D2013_group,0.015099119
g__Ruminococcaceae_unclassified,0.0034233758
g__Ruminococcus]_torques_group,0.0
g__Ruminococcus_1,0.0
g__Runella,0.0
g__SM2D12_unclassified,0.0
g__SWB02,0.0
g__Saccharimonadaceae_unclassified,0.0
g__Scardovia,0.0045628073
g__Schlegelella,0.0013656872
g__Sediminibacterium,0.004906957
g__Selenomonas,0.00021505532
g__Selenomonas_1,0.0013580873
g__Sericytochromatia_unclassified,0.008186087
g__Sinorhizobium,0.0005289061
g__Slackia,0.0
g__Sneathia,0.0
g__Solobacterium,0.0035135865
g__Sphaerochaeta,0.007728531
g__Sphingoaurantiacus,0.0
g__Sphingomonas,0.0066084415
g__Staphylococcus,0.0047750045
g__Streptobacillus,0.0029149018
g__Streptococcaceae_unclassified,0.0
g__Streptomyces,0.00019946259
g__Subdoligranulum,0.04821274
g__Subgroup_13_unclassified,0.005822499
g__Subgroup_6_unclassified,0.008760997
g__Succinivibrio,0.005142004
g__Sutterella,0.0005259676
g__Terrimicrobium,0.0
g__Thalassospira,0.0
g__Thiobacillus,0.0
g__Treponema_2,0.005638392
g__Tsukamurella,0.0039761434
g__Turicibacter,0.0034579313
g__Tyzzerella_3,0.0
g__Tyzzerella_4,0.0
g__UBA10353_marine_group_unclassified,0.0037773661
g__Undibacterium,0.006005158
g__Veillonellaceae_unclassified,0.0
g__Vogesella,0.0
g__Vulcaniibacterium,0.0013212637
g__Xanthobacteraceae_unclassified,0.005656548
g__Xanthomonas,0.010222102
