"","node","feature ID","degree","betweenness","closeness","data_type","community","Domain","Phylum","Class","Order","Family","Genus","Species","mean_abundance","mean_abundance_ranking"
"1",1,"d0ab2c15400fe710288526c9a33083fb",9,0.0241791168526981,0.331619537275064,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_pneumoniae",0.0796296664015436,1
"2",2,"21b04aaabca0f92a5ba0a0b2eaa31aea",8,0.0109158527158678,0.354883081155433,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.0593542359686947,2
"3",3,"0b0a4bdddb823efeb9984bf862fe81f8",32,0.0721558104985532,0.41747572815534,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.056886098352224,3
"4",4,"c13359a9f895b1a2b9fcf49ceaea0e8a",17,0.0206757981329602,0.370157819225251,"Microbial Taxa",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__uncultured_Haemophilus_sp.",0.033163154059929,4
"5",5,"0c870b228c94b71c91663a829ef6f119",10,0.00975615739847444,0.339920948616601,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.024771304925362,5
"6",8,"91eadffc47a7950a37aae47e5e289b92",11,0.00680485735009048,0.370689655172414,"Microbial Taxa",2,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Neisseriaceae","g__Neisseria","s__Neisseria_unclassified",0.016006251376778,6
"7",9,"e73c0fa69ad4221f822e2e5dcb920e76",32,0.0859426931481401,0.42504118616145,"Microbial Taxa",3,"d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__Fusobacterium_unclassified",0.0140413824297134,7
"8",10,"35791f882ef8d2b3177ac86ac87889b7",6,0.00418850079854778,0.327827191867853,"Microbial Taxa",4,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.0134297140225654,8
"9",11,"31b892624d1cb2eea6f31f253f272ee6",17,0.0359115242137817,0.368571428571429,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.0130942017948627,9
"10",12,"f09843a3273d3ed61bd33d7d5180302f",8,0.00247292730531996,0.3359375,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_6","s__Prevotella_6_unclassified",0.0124527171714584,10
"11",13,"0df94e423697e55c9f11b631a661f242",5,0.00189160768717727,0.294857142857143,"Microbial Taxa",4,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Neisseriaceae","g__Neisseria","s__Neisseria_unclassified",0.0101449331565911,17
"12",14,"22e08646a28fd92f3b5f917d15775428",7,0.00672585486316022,0.340369393139842,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella","s__Alloprevotella_unclassified",0.0119875454296405,11
"13",15,"7dbc4080fe843f76995d2773a38a5b8f",8,0.0370969983971047,0.358831710709319,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Trichococcus","s__uncultured_Trichococcus_sp.",0.0111379146480388,12
"14",16,"5f323b564b39396cdd783f4cd00e9c82",1,0,0.264344262295082,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__uncultured_Streptococcus_sp.",0.0110665329639868,13
"15",17,"a5bd85f6c3b255b5c6b24e6edea3f328",21,0.0310795574478679,0.39209726443769,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_parasanguinis",0.0104961057604516,15
"16",18,"10dd1f55cc07d1f69a94d0643bce4ae2",10,0.00521016697673776,0.352459016393443,"Microbial Taxa",3,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_mucilaginosa",0.0103197447355647,16
"17",19,"f0bde2f54893276b9ba2239c532b706a",16,0.019136784172169,0.377745241581259,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_unclassified",0.0107124563460742,14
"18",20,"28f6725fd27d82c88d036b99af9e7351",13,0.0134186193123908,0.313487241798299,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00761713630758168,20
"19",22,"9989522015ac9ad21420cd95593a48c3",5,0.00443762335030422,0.292185730464326,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.00854018866992052,18
"20",23,"5794c25923a041a1314b056acd81f74a",1,0,0.267357512953368,"Microbial Taxa",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Neisseriaceae","g__Neisseria","s__Neisseria_unclassified",0.00615821468962973,28
"21",24,"25d8aa4328b5f3e3709359b5ae2c800c",16,0.0171957226293076,0.358831710709319,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__Porphyromonas_unclassified",0.0071464452153831,23
"22",25,"3b8ab1e0d4d6d2df54158bbab123cbdb",4,0.0149296462589128,0.274176408076514,"Microbial Taxa",5,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_sp._CCUG_44661",0.00689352755763128,24
"23",26,"a2ce31d4cf96c2fe3f443de9433ac3c6",10,0.0141591665069259,0.348178137651822,"Microbial Taxa",2,"d__Bacteria","p__Epsilonbacteraeota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__Campylobacter_unclassified",0.00749298604143205,21
"24",27,"83bfa98d28fff4f4001015f751bc8338",4,0.0003959327832068,0.316953316953317,"Microbial Taxa",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Neisseriaceae","g__Neisseria","s__Neisseria_unclassified",0.00805052115593097,19
"25",28,"5f607b11ca505f8da3e93703698998cf",7,0.0026665236347189,0.329923273657289,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_nanceiensis",0.00717506068796507,22
"26",29,"9b197d0503953254acf5c4925c8abedc",10,0.00976973691870385,0.355862068965517,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__uncultured_Porphyromonas_sp.",0.00667004058311342,25
"27",30,"a1c6504e8981cc8645a7f588e5f8408c",3,0.00183917329500133,0.293849658314351,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Family_XI","g__Gemella","s__Gemella_unclassified",0.00632085959764541,27
"28",31,"eae583b93b4f17caf4bdcc66c16fa257",4,0.00043717827815449,0.29757785467128,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.00634706492147582,26
"29",32,"46f5c34a270f9277a45c08af86c6d3ea",1,0,1,"Microbial Taxa",6,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Actinobacillus","s__Actinobacillus_unclassified",0.00583458783996577,29
"30",33,"4596aa39da359337fad3f7e3b3d3c8df",6,0.00494257100002241,0.33419689119171,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_unclassified",0.00568607729895905,30
"31",34,"d820d30c7edb23f98124ec3c43f32c0a",3,0.00103525757005017,0.271008403361345,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__uncultured_Prevotella_sp.",0.00565660748552878,31
"32",35,"5a363ca433e6426ed3252fd620f36f80",1,0,0.253937007874016,"Microbial Taxa",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_haemolyticus",0.00511051932851896,33
"33",36,"da7b3c938a99ded6db6aebf9771a985d",12,0.00843650769647026,0.340369393139842,"Microbial Taxa",5,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_dentocariosa",0.0051027811227755,34
"34",37,"d275740dc2049205f134098fc5c9a8fc",1,0,0.2,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__uncultured_Streptococcus_sp.",0.00493987361727585,36
"35",38,"0d12878a3e00449298328dee2d70e1f5",4,0.00135884949778512,0.314250913520097,"Microbial Taxa",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_sp._HGH0297",0.00551838345902084,32
"36",39,"0e86d47168e5c995f8990779c9c5b51a",24,0.0299381326735918,0.386806596701649,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00509586197051178,35
"37",40,"a447268a2d8ec140e0d39af7e8fedd8c",9,0.00656720510335401,0.344919786096257,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__uncultured_Porphyromonas_sp.",0.00448292007539943,42
"38",41,"d5fdbb2924288ee9a63a8e2ef02b3d3b",20,0.0552071302410972,0.38796992481203,"Microbial Taxa",2,"d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__Saccharimonadaceae_unclassified","s__Saccharimonadaceae_unclassified",0.0045376920065756,40
"39",42,"00ea5b1ebd4edfd292b9ab1e22636e64",5,0.00237128288420357,0.322903629536921,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00453094610601347,41
"40",43,"8ac4bd04828ef531acaf8ab979578978",10,0.00693243929175801,0.351020408163265,"Microbial Taxa",2,"d__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Atopobium","s__uncultured_Atopobium_sp.",0.00477696422075769,37
"41",44,"11cb27acf792e26b2965c470e555b8ba",8,0.00825632203876901,0.356846473029046,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_Oribacterium_sp.",0.00454891936115542,39
"42",45,"cb61b7361f8474faf2dd863ef232432c",5,0.0014826463969669,0.324120603015075,"Microbial Taxa",2,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Betaproteobacteriales","f__Neisseriaceae","g__Neisseria","s__Neisseria_unclassified",0.00447339218254055,43
"43",46,"100e42177aef80a479069abee89e4183",26,0.0425821996379719,0.406940063091483,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00434542396749132,44
"44",47,"b36173d8d6b6ec133ab9374feeb60973",4,0.00063448072419143,0.310469314079422,"Microbial Taxa",2,"d__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Atopobium","s__Atopobium_unclassified",0.00462652546162377,38
"45",48,"cb4b2fbb9195bd36b723b192b08f7a33",16,0.0151773954168683,0.366998577524893,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__Megasphaera_unclassified",0.00409714378583533,46
"46",49,"0970db89ab439ac61d73c3364acbe6cc",7,0.00195685365205885,0.347708894878706,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Family_XIII","g__Eubacterium]_nodatum_group","s__Eubacterium]_nodatum_group_unclassified",0.00406254616468037,47
"47",50,"81cca0c8514c3c4a389e2279501f7415",6,0.00293963021660012,0.339920948616601,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_nanceiensis",0.00398317810016753,49
"48",51,"becd8488d5c722efbb395eea7aa2b7a2",10,0.024379000290066,0.339920948616601,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Abiotrophia","s__uncultured_Abiotrophia_sp.",0.0040103600603339,48
"49",52,"122996e5ab94e779e87b3d84e0ab3371",14,0.0171481248987337,0.368571428571429,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__Peptostreptococcus","s__Peptostreptococcus_unclassified",0.00420192608174544,45
"50",53,"cb6e17150d6ca988c474eb2a84f7e039",5,0.00200619473029916,0.284454244762955,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.00374167529682642,52
"51",54,"dfbc0bf32634881a60d90da9d6dd53bc",7,0.00781793590461862,0.321295143212951,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__Megasphaera_unclassified",0.00398195400124903,50
"52",55,"6097c1628dbe4a5b21a6fd053612a412",16,0.0236062483487106,0.379411764705882,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__Megasphaera_unclassified",0.00377494896000219,51
"53",56,"2340d0ea6fd3c3b065699140a3726319",3,0.00010153647228684,0.29757785467128,"Microbial Taxa",3,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_mucilaginosa",0.00369987562552525,53
"54",57,"c46f6aed459223ef41f57017ec797d41",27,0.0514245056232875,0.403125,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoanaerobaculum","s__Lachnoanaerobaculum_unclassified",0.00349065618432108,55
"55",58,"5809c15976c599adbbea647077c66355",4,3.03191364875015e-05,0.301050175029172,"Microbial Taxa",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_parainfluenzae",0.00353862966504472,54
"56",59,"c84058269dd9d2ad22ecd239c7427d7b",10,0.00436144536258551,0.351978171896317,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_parasanguinis",0.00345648351362988,56
"57",61,"0778d0e8ee3ab90800b43439d1b1fdf5",10,0.00842919767258333,0.364406779661017,"Microbial Taxa",2,"d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia","s__uncultured_Leptotrichia_sp.",0.00318490069414147,57
"58",62,"69b811578880097e67b5989581e7033d",4,0.00098517199666135,0.323713927227102,"Microbial Taxa",2,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_6","s__Prevotella_6_unclassified",0.00299449075025485,58
"59",63,"70c8539c58e20ab0f0e65a074936db52",5,0.00079050005400359,0.306777645659929,"Microbial Taxa",3,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_mucilaginosa",0.00295656836325609,59
"60",64,"df0d5a8da67de6f0cfbbede6cc731491",3,0.00073805906063451,0.297235023041475,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.00289559286630281,60
"61",65,"994d6bb787282e16ab078f43fb5e077d",26,0.0296566126448596,0.393292682926829,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Family_XI","g__Parvimonas","s__Parvimonas_unclassified",0.00269223554712684,62
"62",66,"ce258184714a4fba0407757c17687029",19,0.0205530142545873,0.361851332398317,"Microbial Taxa",3,"d__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Absconditabacteriales_(SR1)","f__Absconditabacteriales_(SR1)_unclassified","g__Absconditabacteriales_(SR1)_unclassified","s__Absconditabacteriales_(SR1)_unclassified",0.00261558268800493,63
"63",67,"e39a13e3ddcb2a2f4ae2c8975fce0c1f",2,0,0.269874476987448,"Microbial Taxa",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_sp._HFH0072",0.00287595531858766,61
"64",68,"98e1023db5643c3eff2d5488014539eb",8,0.00567872192733076,0.319306930693069,"Microbial Taxa",4,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Aggregatibacter","s__uncultured_Aggregatibacter_sp.",0.00220675418353934,71
"65",70,"ab4225c333dd7fa7a88bcf77002681f1",6,0.00064391669801405,0.326169405815424,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00225594366780368,69
"66",71,"223f1edcbe166794e69f4b97aa812d17",19,0.027683449615992,0.38109305760709,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_Oribacterium_sp.",0.00246392144301148,65
"67",72,"dd59ed4328f6a51da2019387b881acbd",7,0.00319199195217193,0.30034924330617,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_mitis",0.00185552053503938,79
"68",73,"211fb45d51561445a9856e53bd3eac29",8,0.00351695318156487,0.340369393139842,"Microbial Taxa",2,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__uncultured_Haemophilus_sp.",0.00238426337960285,67
"69",74,"56ff9a68358a7384dd9f598cf7bd53f6",1,0,0.262729124236253,"Microbial Taxa",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_unclassified",0.00252192115743931,64
"70",75,"23d838b98ce16a9b06439db55bdce0fa",6,0.00159222001230233,0.358333333333333,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__uncultured_Porphyromonas_sp.",0.00245278157184517,66
"71",76,"cad04f02a8fa573d567c2dc4e107d329",8,0.00517960722936159,0.324120603015075,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.0018018223845056,80
"72",77,"b1ec8ace92c078b29dcfebe3cb8abcb7",14,0.00662913764444764,0.362869198312236,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoanaerobaculum","s__Lachnoanaerobaculum_unclassified",0.00238391442509621,68
"73",78,"2952a9bfc9933977c18631ea7a12e812",9,0.010529639697805,0.358831710709319,"Microbial Taxa",1,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_cristatus",0.00208866759276163,74
"74",79,"f93a2e43844030dbd1245f8e3d4fe842",10,0.00947488981026281,0.363892806770099,"Microbial Taxa",2,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__uncultured_Actinomyces_sp.",0.00213835406776477,72
"75",80,"47919ec66f028bca62328f3532e6988b",10,0.00718678712317201,0.319306930693069,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.00223304485674992,70
"76",81,"ca019d0f1f7206065d11886d91083e31",5,0.00084242745504817,0.301754385964912,"Microbial Taxa",3,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_nanceiensis",0.00209287650206325,73
"77",83,"916552006386032e5c8383a1f07a3888",1,0,0.243396226415094,"Microbial Taxa",2,"d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_mucilaginosa",0.00186660612888541,77
"78",84,"5e5f0e7b50996cdbb7c3c4bef2b313a3",10,0.0158723130341165,0.361851332398317,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Selenomonas_3","s__Selenomonas_3_unclassified",0.00194492049981646,75
"79",85,"9277b67339cccee373e1579829bb7f8c",3,0.00082322811078223,0.310096153846154,"Microbial Taxa",3,"d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia","s__uncultured_Leptotrichia_sp.",0.0018560048797992,78
"80",86,"845bc52446e4be4241712b703455fa7b",4,0.00045011700730634,0.318125770653514,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00187122056550313,76
"81",87,"4c27ea8735fc259472f9646eccdf0c02",2,0.00038261094061445,0.26791277258567,"Microbial Taxa",5,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_parainfluenzae",0.00136181994422359,87
"82",88,"4edf08678027d1fa0b6c1d177caf562c",3,1.3328989070229e-05,0.257742257742258,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00155047287265357,82
"83",90,"7674477baaf7c8b400d9e942f4cb53cc",6,0.00155543817089467,0.32089552238806,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__Megasphaera_unclassified",0.00150412390503985,83
"84",91,"a005e50d6b7abe0668d1227314373a3f",6,0.00429343807527424,0.318518518518519,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_australis",0.00149111999220207,85
